hidden_layer_sizes,lambda_reg,activation,initialization_mode,avg_val_mape,avg_val_reg_error,avg_initial_loss,avg_final_loss,avg_initial_train_mape,avg_final_train_mape,avg_iterations,avg_optimization_time_seconds,success_rate,unique_messages
"[128, 64]",0.01,relu,xavier,23.34034828856789,99.07221818646306,1689.752993031651,98.99427187779837,100.54793035899573,23.324794897582347,43.2,17.95778694152832,100.0,['CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH']
"[128, 64]",0.01,tanh,he,23.06154525469703,99.9848769731838,1681.800218754585,99.07434357953122,99.70899637073475,22.93256845813524,107.6,29.488853788375856,100.0,['CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH']
"[128, 64]",0.01,tanh,xavier,23.311507311889144,100.44895535459338,1677.9075596947555,99.73242184049012,100.21311366371665,23.248813236813614,71.2,18.619841718673705,100.0,['CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH']
"[128, 64]",0.01,swish,he,23.31582917799455,101.07453537105775,1691.8396336530059,100.64436460311893,99.35247684884575,23.25086429683338,59.2,25.68838996887207,100.0,['CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH']
"[128, 64]",0.01,swish,xavier,23.294175182451035,98.80477274055288,1676.0388873232853,98.47881844748464,100.01274921961989,23.26136536988831,50.8,23.799257135391237,100.0,['CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH']
"[128, 64]",0.1,relu,he,23.51358484882155,121.02734227230022,1662.6584131018449,120.90857186806622,98.6545265355137,23.51454306618833,53.8,22.468418884277344,100.0,['CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH']
"[128, 64]",0.1,relu,xavier,23.326862349494625,105.80184949209543,1704.5516114543436,105.6301305144711,100.46616660924231,23.304695694405577,70.0,22.513780784606933,100.0,['CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH']
"[128, 64]",0.1,tanh,he,23.3848314600034,112.47145213885722,1710.5316782409677,112.10420123022895,99.72381623032801,23.35022016165634,112.4,37.11629548072815,100.0,['CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH']
"[128, 64]",0.1,tanh,xavier,23.36463060765454,105.96269364334151,1695.4110944699903,105.66267139813957,99.70902704077625,23.3289331191582,112.6,32.4129195690155,100.0,['CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH']
"[128, 64]",0.1,swish,he,23.277050099962572,104.82357751954639,1730.3901736135863,104.67699317391006,100.02671642093148,23.28025163601362,116.0,56.25910000801086,100.0,['CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH']
"[128, 64]",0.1,swish,xavier,23.24610351187938,105.55113478245183,1695.4576464426082,105.69077304735686,100.08815823693598,23.261501308790535,63.0,33.34971199035645,100.0,['CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH']
"[64, 32, 32]",0.001,relu,he,23.42398534351658,97.8352600399227,1717.9830560370913,97.50115538945721,102.26373967841255,23.345068025566363,44.2,5.765715885162353,100.0,['CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH']
"[64, 32, 32]",0.001,relu,xavier,23.345035806666754,97.52966549810517,1673.8785574651279,97.1859937850844,99.89559148125514,23.307903259236216,44.8,6.405642032623291,100.0,['CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH']
"[64, 32, 32]",0.001,tanh,he,23.46100151742815,98.00025012719274,1672.7760815036024,97.22812862111375,100.08505875790104,23.343624880805162,65.8,6.53770227432251,100.0,['CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH']
"[64, 32, 32]",0.001,tanh,xavier,23.41200931906888,98.94513162265775,1678.3913319300468,97.95660985155867,99.78993604450883,23.30054961724411,60.0,5.496720981597901,100.0,['CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH']
"[64, 32, 32]",0.001,swish,he,23.451525129710223,98.76835222381568,1686.0354258392922,98.74246580566512,100.30252017487872,23.45005534978401,41.8,9.604424619674683,100.0,['CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH']
"[64, 32, 32]",0.001,swish,xavier,23.355721959014154,97.78907811672666,1682.2437196551905,97.64704927074041,100.16594567281638,23.344620977242922,46.4,9.921264123916625,100.0,['CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH']
"[64, 32, 32]",0.01,relu,he,23.345784885018826,100.95216535517662,1749.9420321048779,100.59317660897469,102.18902091828579,23.322583707980996,36.4,6.189388942718506,100.0,['CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH']
